iter	Passed	Remaining
959	74891	3120
960	74960	3042
961	75035	2963
962	75094	2885
963	75171	2807
964	75248	2729
965	75323	2651
966	75399	2573
967	75478	2495
968	75548	2416
969	75622	2338
970	75697	2260
971	75771	2182
972	75839	2104
973	75903	2026
974	75977	1948
975	76047	1870
976	76112	1791
977	76193	1713
978	76263	1635
979	76341	1557
980	76409	1479
981	76486	1401
982	76549	1323
983	76629	1246
984	76697	1167
985	76767	1090
986	76841	1012
987	76913	934
988	76990	856
989	77190	779
990	77261	701
991	77333	623
992	77412	545
993	77483	467
994	77624	390
995	77683	311
996	77747	233
997	77820	155
998	77885	77
999	77959	0
